nit,razon_social,contacto,ciudad,agente_retenedor,condicion_pago,notas
901483265-9,Corporación Cultural Sincelejo Vive,Ramiro Támara,Sincelejo,no,30 dias,Presupuesto aprobado por junta directiva anualmente
830214569-7,Fiduciaria Andina SA,Comité de Compras,Bogotá,si,30 dias,Gran contribuyente aplica todas las retenciones
901356820-2,Moda Urbana Antioquia SAS,Verónica Escobar,Medellín,no,contado,Showroom nuevo en Provenza
900267841-5,Clínica Veterinaria Huellitas del Valle SAS,Dr. Samuel Caicedo,Cali,no,contado,Muebles lavables de fácil limpieza
901175394-8,Puerto Contenedores del Atlántico SAS,Ing. Fabián Charris,Barranquilla,si,30 dias,Orden de compra obligatoria con centro de costos
900938217-3,Avícola Santandereana SAS,Luz Dary Pinzón,Bucaramanga,si,30 dias,Consolidar despachos en un solo envío mensual
901247583-6,Joyería Filigrana Momposina SAS,Edelmira Villanueva,Cartagena,no,contado,Requiere vitrinas y cajas fuertes
900582964-7,Software Eje Cafetero SAS,Cristian Camilo Bedoya,Pereira,no,contado,Startup en crecimiento compra por etapas
901402178-5,Termales del Ruiz Operadora SAS,Margarita Arango,Manizales,si,30 dias,Acceso por vía de montaña coordinar flete especial
900623815-2,Impresos y Litografía El Faro LTDA,Norberto Ascanio,Cúcuta,no,contado,Cliente de más de 10 años trato preferencial
901318492-6,Corabastos Mayorista del Centro SAS,Blanca Cecilia Forero,Bogotá,si,30 dias,Bodega 34 sector frutas entregar antes de las 6 am
